Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
GK,G&K Services, Inc.,72.34,$1.44B,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/gk,
WILC,G. Willi-Food International,  Ltd.,6,$77.85M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/wilc,
GCV,Gabelli Convertible and Income Securities Fund, Inc. (The),6.54,$90.4M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gcv,
GCV^B,Gabelli Convertible and Income Securities Fund, Inc. (The),25.825,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gcv^b,
GDV,Gabelli Dividend,21.56,$1.78B,2003,n/a,n/a,http://www.nasdaq.com/symbol/gdv,
GDV^A,Gabelli Dividend,25.83,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gdv^a,
GDV^D,Gabelli Dividend,25.853,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gdv^d,
GAB,Gabelli Equity Trust, Inc. (The),6.55,$1.25B,1986,n/a,n/a,http://www.nasdaq.com/symbol/gab,
GAB^D,Gabelli Equity Trust, Inc. (The),25.56,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gab^d,
GAB^G,Gabelli Equity Trust, Inc. (The),23.34,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gab^g,
GAB^H,Gabelli Equity Trust, Inc. (The),23.7108,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gab^h,
GGZ,Gabelli Global Small and Mid Cap Value Trust (The),10.51,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/ggz,
GGT,Gabelli Multi-Media Trust Inc. (The),9.85,$238.59M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggt,
GGT^B,Gabelli Multi-Media Trust Inc. (The),25.65,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggt^b,
GUT,Gabelli Utility Trust (The),7.11,$296.88M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gut,
GUT^A,Gabelli Utility Trust (The),25.617,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gut^a,
GFA,Gafisa SA,1.42,$289.73M,2007,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/gfa,
GAIA,Gaiam, Inc.,7.21,$176.39M,1999,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/gaia,
GCAP,GAIN Capital Holdings, Inc.,8.67,$373.57M,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gcap,
GALT,Galectin Therapeutics Inc.,3.84,$84.95M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/galt,
GALTU,Galectin Therapeutics Inc.,7.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/galtu,
GALTW,Galectin Therapeutics Inc.,1.6304,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/galtw,
GALE,Galena Biopharma, Inc.,1.68,$204.05M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/gale,
GLMD,Galmed Pharmaceuticals Ltd.,6.8,$75.48M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/glmd,
GGN^B,GAMCO Global Gold, Natural Reources & Income Trust ,22.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggn^b,
GGN,GAMCO Global Gold, Natural Reources & Income Trust ,7.59,$817.38M,2005,n/a,n/a,http://www.nasdaq.com/symbol/ggn,
GBL,Gamco Investors, Inc.,79.47,$2.05B,1999,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gbl,
GNT,GAMCO Natural Resources, Gold & Income Tust ,8.54,$179.77M,2011,n/a,n/a,http://www.nasdaq.com/symbol/gnt,
GME,Gamestop Corporation,37.35,$4.05B,2002,Consumer Services,Electronics Distribution,http://www.nasdaq.com/symbol/gme,
GLPI,Gaming and Leisure Properties, Inc.,33.57,$3.77B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/glpi,
GPIC,Gaming Partners International Corporation,8.47,$67.05M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/gpic,
GCI,Gannett Co., Inc.,34.77,$7.85B,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/gci,
GPS,Gap, Inc. (The),41.2,$17.45B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/gps,
GRMN,Garmin Ltd.,55.93,$10.7B,2000,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/grmn,
GGAC,Garnero Group Acquisition Company,9.51,$176.91M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/ggac,
GGACR,Garnero Group Acquisition Company,0.25,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/ggacr,
GGACU,Garnero Group Acquisition Company,9.9,$129.33M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/ggacu,
GGACW,Garnero Group Acquisition Company,0.128,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/ggacw,
GARS,Garrison Capital Inc.,14.77,$247.53M,2013,n/a,n/a,http://www.nasdaq.com/symbol/gars,
IT,Gartner, Inc.,81.53,$7.18B,1993,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/it,
EGAS,Gas Natural Inc.,10.05,$105.4M,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/egas,
GLOG,GasLog LP.,20,$1.62B,2012,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/glog,
GLOP,GasLog Partners LP,24.02,$579.96M,2014,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/glop,
GST^A,Gastar Exploration Inc.,21.44,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^a,
GST^B,Gastar Exploration Inc.,24.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^b,
GST,Gastar Exploration Inc.,2.89,$227.91M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst,
GMT,GATX Corporation,60.08,$2.66B,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/gmt,
GZT,Gazit-Globe Ltd.,12.92,$2.32B,2011,Finance,Real Estate,http://www.nasdaq.com/symbol/gzt,
GKNT,Geeknet, Inc.,7.83,$52.61M,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/gknt,
GENC,Gencor Industries Inc.,9.497,$90.41M,n/a,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/genc,
GY,GenCorp Inc.,18.91,$1.18B,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/gy,
GNRC,Generac Holdlings Inc.,49.89,$3.44B,2010,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/gnrc,
GAM,General American Investors, Inc.,35.39,$1.05B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gam,
GAM^B,General American Investors, Inc.,26.17,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gam^b,
BGC,General Cable Corporation,14.4,$700.86M,1997,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/bgc,
GNCMA,General Communication, Inc.,14.49,$597.16M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/gncma,
GD,General Dynamics Corporation,137.61,$45.65B,n/a,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/gd,
GEH,General Electric Capital Corporation,25.18,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/geh,
GEK,General Electric Capital Corporation,24.89,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gek,
GE,General Electric Company,25.15,$252.56B,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/ge,
GEB,General Electric Company,25.3,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/geb,
JOB,General Employment Enterprises, Inc.,0.7917,$20.5M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/job,
GFN,General Finance Corporation,9.2,$237.25M,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/gfn,
